Concentration of carbon,Temperature ,Temperature anomaly ,Adjusted sea level 
290.74,56.8,-0.1248,0.952755905
290.97,56.95,-0.0751,1.173228345
291.19,56.89,-0.0764,0.464566929
291.41,56.84,-0.1534,0.66535433
291.63,56.71,-0.2156,1.464566928
291.86,56.75,-0.2245,1.393700786
292.08,56.77,-0.2094,1.255905511
292.3,56.62,-0.2567,1.03543307
292.59,56.84,-0.1552,1.118110235
292.88,57.02,-0.1065,1.181102361
293.18,56.61,-0.3264,1.255905511
293.47,56.71,-0.2582,1.188976377
293.76,56.62,-0.3108,1.314960629
294.05,56.55,-0.3235,1.484251967
294.34,56.61,-0.2809,1.153543306
294.63,56.75,-0.2299,1.618110235
294.93,56.88,-0.0956,1.303149605
295.22,56.86,-0.1216,1.492125983
295.51,56.62,-0.2561,1.818897636
295.8,56.82,-0.1135,2.102362203
295.55,56.93,-0.0728,1.846456691
295.3,56.82,-0.1454,1.803149604
295.05,56.66,-0.2519,1.972440943
294.8,56.55,-0.3405,2.275590549
295.85,56.43,-0.4187,1.86614173
296.9,56.66,-0.291,1.590551179
297.48,56.73,-0.2131,1.83070866
298.05,56.44,-0.3687,1.783464565
298.63,56.43,-0.4362,1.669291337
299.2,56.35,-0.424,1.850393699
299.42,56.37,-0.374,1.846456691
299.63,56.41,-0.4233,2.157480313
299.85,56.46,-0.3212,2.035433069
300.07,56.5,-0.3079,2.102362203
300.28,56.79,-0.1317,2.338582675
300.5,56.91,-0.0641,2.641732281
300.68,56.55,-0.2873,2.543307084
300.87,56.41,-0.3073,2.358267714
301.05,56.62,-0.1993,2.29133858
301.23,56.68,-0.1983,2.354330706
301.42,56.71,-0.2054,2.417322832
301.6,56.82,-0.1409,2.503937005
302.25,56.68,-0.2221,2.472440942
302.9,56.73,-0.2071,2.511811021
303.55,56.77,-0.2403,2.228346454
304.2,56.8,-0.1371,2.326771651
304.85,57.04,-0.0563,2.586614171
305.5,56.86,-0.1453,2.511811021
305.64,56.89,-0.1699,2.334645667
305.78,56.62,-0.2937,2.381889761
305.91,56.98,-0.0971,2.535433068
306.05,57.06,-0.0663,2.527559053
306.19,57,-0.1145,2.740157478
306.33,56.73,-0.2413,2.905511808
306.46,57.02,-0.1032,2.696850391
306.6,56.91,-0.1378,2.917322832
306.76,57,-0.1111,2.759842517
306.93,57.24,-0.0156,2.984251965
307.09,57.29,-0.0282,3.08661417
307.25,57.2,-0.0104,3.307086611
307.41,57.31,0.0963,3.055118107
307.58,57.33,0.1947,3.523622044
307.74,57.29,0.1509,3.523622044
307.9,57.29,0.158,3.523622044
308.38,57.43,0.289,3.267716532
308.86,57.2,0.1703,3.377952752
309.34,57.06,-0.0093,3.669291335
309.82,57.11,-0.0549,3.7519685
310.3,57,-0.0534,3.929133854
310.78,56.98,-0.0616,3.842519681
311.26,56.86,-0.1631,3.909448815
311.74,57.07,-0.014,4.279527555
312.22,57.22,0.0244,4.173228342
312.7,57.34,0.0951,4.338582673
313.22,56.98,-0.116,4.216535429
313.73,56.97,-0.1349,4.244094484
314.25,56.86,-0.199,4.039370075
314.77,57.27,0.048,4.562992121
315.28,57.29,0.1087,4.606299208
315.97,57.25,0.0593,4.614173224
316.91,57.13,0.0201,4.763779523
317.64,57.31,0.0763,5.007874011
318.45,57.29,0.088,4.803149601
318.99,57.34,0.1047,4.740157475
319.62,56.84,-0.151,4.433070862
320.04,57,-0.0794,4.874015743
321.38,57.13,-0.024,4.65748031
322.16,57.18,-0.0155,4.708661413
323.04,57.11,-0.0325,4.748031491
324.62,57.33,0.0904,5.02755905
325.68,57.27,0.0351,4.9527559
326.32,57.09,-0.0803,5.153543302
327.45,57.24,0.0252,5.511811018
329.68,57.47,0.1608,5.271653538
330.18,57.07,-0.0758,5.740157474
331.08,57.18,-0.0008,5.673228341
332.05,56.98,-0.0827,5.63779527
333.78,57.47,0.1935,5.56299212
335.41,57.29,0.109,5.818897632
336.78,57.42,0.2234,5.625984246
338.68,57.6,0.2608,5.854330703
340.1,57.7,0.2973,6.342519679
341.44,57.36,0.1782,6.106299206
343.03,57.69,0.3374,6.444881883
344.58,57.4,0.1453,6.401574797
346.04,57.33,0.1303,5.996062986
347.39,57.45,0.2246,6.019685033
349.16,57.7,0.3652,6.039370073
351.56,57.81,0.3704,6.22834645
353.07,57.61,0.2913,6.409448812
354.35,57.9,0.4268,6.492125978
355.57,57.87,0.4004,6.594488182
356.38,57.52,0.2523,6.622047237
357.07,57.54,0.281,6.555118104
358.82,57.7,0.3357,6.763779521
360.8,57.96,0.4527,6.881889757
362.59,57.78,0.3179,7.051181095
363.71,58.01,0.5137,7.330708654
366.65,58.3,0.6305,6.937007867
368.33,57.9,0.4397,7.287401567
369.52,57.92,0.4228,7.334645662
371.13,58.14,0.5426,7.555118103
373.22,58.28,0.598,7.653543299
375.77,58.26,0.6092,8.035433063
377.49,58.14,0.5737,8.015748023
379.8,58.37,0.6534,8.015748023
381.9,58.26,0.6079,8.18897637
383.77,58.32,0.6049,8.279527551
385.59,58.08,0.5345,8.622047235
387.37,58.26,0.6287,8.862204715
389.85,58.39,0.6954,9.185039361
391.62,58.17,0.5709,9.267716526
393.81,58.21,0.6152,9.661417313
